,x,y,uniqueframe
0,173.0,264.55595134473606,0
1,175.55555555555554,260.186782532752,0
2,178.11111111111111,256.0974621116985,0
3,180.66666666666669,252.27605881189527,0
4,183.22222222222223,248.71064136366206,0
5,185.77777777777777,245.3892784973188,0
6,188.33333333333331,242.30003894318511,0
7,190.88888888888889,239.4309914315809,0
8,193.44444444444446,236.77020469282596,0
9,196.0,234.30574745724007,0
10,198.55555555555554,232.02568845514304,0
11,201.11111111111111,229.91809641685467,0
12,203.66666666666666,227.9710400726947,0
13,206.22222222222223,226.17258815298297,0
14,208.77777777777777,224.51118577642092,0
15,211.33333333333331,222.97678361523649,0
16,213.88888888888889,221.55970873003935,0
17,216.44444444444446,220.25028818143903,0
18,219.0,219.03884903004518,0
19,221.55555555555554,217.91571833646748,0
20,224.11111111111111,216.87122316131547,0
21,226.66666666666666,215.89569056519878,0
22,229.22222222222223,214.979447608727,0
23,231.77777777777777,214.1128213525098,0
24,234.33333333333331,213.28613885715674,0
25,236.88888888888889,212.4897271832774,0
26,239.44444444444446,211.71569218228154,0
27,242.0,210.96325486877848,0
28,244.55555555555554,210.23341504817785,0
29,247.1111111111111,209.5271725258891,0
30,249.66666666666666,208.84552710732174,0
31,252.22222222222223,208.18947859788534,0
32,254.77777777777777,207.56002680298928,0
33,257.3333333333333,206.95817152804318,0
34,259.8888888888889,206.38491257845652,0
35,262.44444444444446,205.84124975963874,0
36,265.0,205.3281828769994,0
37,267.55555555555554,204.84671173594802,0
38,270.1111111111111,204.39783614189403,0
39,272.66666666666663,203.982555900247,0
40,275.22222222222223,203.60187081641647,0
41,277.77777777777777,203.2567806958118,0
42,280.3333333333333,202.94828534384266,0
43,282.8888888888889,202.6773845659185,0
44,285.44444444444446,202.44507816744874,0
45,288.0,202.25236595384297,0
46,290.55555555555554,202.1002477305107,0
47,293.1111111111111,201.9897233028613,0
48,295.66666666666663,201.92179247630452,0
49,298.22222222222223,201.89745505624967,0
50,300.77777777777777,201.9177108481063,0
51,303.3333333333333,201.98332916121103,0
52,305.8888888888889,202.0941573206088,0
53,308.44444444444446,202.2498121552715,0
54,311.0,202.44991049417123,0
55,313.55555555555554,202.69406916627997,0
56,316.1111111111111,202.98190500056975,0
57,318.66666666666663,203.31303482601254,0
58,321.2222222222222,203.68707547158033,0
59,323.77777777777777,204.10364376624517,0
60,326.3333333333333,204.56235653897903,0
61,328.8888888888889,205.06283061875394,0
62,331.44444444444446,205.60468283454185,0
63,334.0,206.18753001531485,0
64,336.55555555555554,206.81098899004485,0
65,339.1111111111111,207.47467658770387,0
66,341.66666666666663,208.17820963726402,0
67,344.2222222222222,208.92120496769718,0
68,346.77777777777777,209.7032794079754,0
69,349.3333333333333,210.52404978707068,0
70,351.8888888888889,211.38313293395504,0
71,354.44444444444446,212.28014567760044,0
72,357.0,213.21470484697892,0
73,359.55555555555554,214.18642727106248,0
74,362.1111111111111,215.1949297788231,0
75,364.66666666666663,216.23982919923282,0
76,367.2222222222222,217.32074236126363,0
77,369.77777777777777,218.43728609388756,0
78,372.3333333333333,219.58907722607654,0
79,374.8888888888889,220.77573258680266,0
